Nº OCORRENCIA;DATA DO FATO;HORA DO FATO;GRUPO DE INCIDENTE;TIPO DE INCIDENTE;UF;MUNICIPIO;BAIRRO;TIPO LOCAL
49839526;01/01/2023;09:24:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;ITACIBA;Via PUblica
49842144;01/01/2023;09:45:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;OPERARIO;Via PUblica
49841439;01/01/2023;13:33:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;VALE DOS REIS;Terreno Baldio / ConstruCAo / Mata
49841889;01/01/2023;09:27:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ECOPORANGA;SANTA LUZIA DO NORTE;DomicIlio
49844682;01/01/2023;20:54:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;NOVA ESPERANCA;Estabelecimento Comercial
49838810;01/01/2023;04:32:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;PARQUE RESIDENCIAL TUBARAO;Via PUblica
49842515;01/01/2023;15:52:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;CENTRO;Via PUblica
49854665;02/01/2023;10:01:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BAIXO GUANDU;ROSARIO II;Via PUblica
49844682;02/01/2023;23:13:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;NOVA ESPERANCA;Estabelecimento Comercial
49854933;02/01/2023;10:02:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;BAIRRO BOA VISTA;Estabelecimento de SaUde
49857468;03/01/2023;10:07:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ALEGRE;CLERIO MOULIN;Via PUblica
49863815;03/01/2023;19:07:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;GUARAPARI;LAGOA FUNDA;DomicIlio
49860422;03/01/2023;13:28:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;NOVO HORIZONTE;Via PUblica
49874795;04/01/2023;09:51:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BREJETUBA;ALTO JACUTINGA;Via PUblica
49874852;04/01/2023;22:16:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;SAO JUDAS;DomicIlio
49874009;04/01/2023;20:16:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO GABRIEL DA PALHA;AIMORES;Via PUblica
49875679;05/01/2023;12:06:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;BARRO BRANCO;Via PUblica
49884359;06/01/2023;10:05:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;RUBEM BRAGA;DomicIlio
49891582;06/01/2023;21:05:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;RIO NOVO DO SUL;SANTO ANTONIO;Via PUblica
49882445;06/01/2023;12:08:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;FEU ROSA;Estabelecimento Comercial
49892160;06/01/2023;22:31:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SOORETAMA;JOEIRANA;DomicIlio
49899600;07/01/2023;20:48:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;NOVA ESPERANCA;Via PUblica
49899600;07/01/2023;20:48:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;NOVA ESPERANCA;Via PUblica
49897213;07/01/2023;15:25:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;FEU ROSA;Terreno Baldio / ConstruCAo / Mata
49908388;08/01/2023;20:13:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;FLEXAL II;Via PUblica
49909462;08/01/2023;22:45:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;PORTO DE CARIACICA;Via PUblica
49909611;08/01/2023;23:11:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;PORTO NOVO;Estabelecimento Comercial
49905669;08/01/2023;13:42:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;JAGUARE;PALMITAL;Via PUblica
49905669;08/01/2023;13:42:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;JAGUARE;PALMITAL;Via PUblica
49908094;08/01/2023;19:33:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;INTERLAGOS;DomicIlio
49899833;08/01/2023;03:37:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;BAIRRO DAS LARANJEIRAS;Via PUblica
49903380;08/01/2023;12:32:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;BOA VISTA;Estabelecimento Comercial
49911991;09/01/2023;08:48:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;PIRANEMA;Via PUblica
49916136;09/01/2023;16:27:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PIUMA;CEU AZUL;DomicIlio
49912099;09/01/2023;08:56:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;SERRA DOURADA I;Via PUblica
49920794;10/01/2023;06:37:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;FUNDAO;ORLY RAMOS;Terreno Baldio / ConstruCAo / Mata
49927176;10/01/2023;19:34:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;RIO BANANAL;ZONA RURAL;Terreno Baldio / ConstruCAo / Mata
49935430;11/01/2023;17:16:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;IBES;Via PUblica
49938587;12/01/2023;01:40:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;AGUA DOCE DO NORTE;ZONA RURAL;DomicIlio
49944595;12/01/2023;22:03:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;JOSE DE ANCHIETA;Via PUblica
49944323;12/01/2023;21:25:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ULISSES GUIMARAES;DomicIlio
49953908;13/01/2023;22:06:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;SAO FRANCISCO;Via PUblica
49959299;14/01/2023;13:40:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;PORTO;DomicIlio
49957423;14/01/2023;09:15:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;JARDIM BELA VISTA;Via PUblica
49957423;14/01/2023;11:16:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ARIBIRI;Via PUblica
49957423;14/01/2023;11:16:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ARIBIRI;Via PUblica
49970646;15/01/2023;17:55:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;BREJETUBA;ZONA RURAL;DomicIlio
49972864;15/01/2023;22:50:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO DOMINGOS DO NORTE;BRACO DO SUL;Via PUblica
49965085;15/01/2023;01:11:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ULISSES GUIMARAES;Estabelecimento Comercial
49971372;15/01/2023;14:23:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;ROMAO;DomicIlio
49975827;16/01/2023;09:54:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PIUMA;NOVA ESPERANCA;Via PUblica
49976725;16/01/2023;11:13:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SOORETAMA;CENTRO;Via PUblica
49965215;16/01/2023;11:57:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;SAO PEDRO;Via PUblica
49984861;17/01/2023;08:08:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CACHOEIRO DE ITAPEMIRIM;MONTE LIBANO;Via PUblica
49998147;18/01/2023;14:55:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;FLEXAL I;DomicIlio
49938555;18/01/2023;15:19:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;JARDIM TROPICAL;Via PUblica
49982027;18/01/2023;20:20:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;JOSE DE ANCHIETA;Via PUblica
49997253;18/01/2023;13:31:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;SERRA DOURADA III;DomicIlio
50010095;19/01/2023;18:58:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;SAO PEDRO;Via PUblica
50019425;20/01/2023;19:25:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO MATEUS;GURIRI;DomicIlio
50013403;20/01/2023;06:06:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;SANTO ANTONIO;DomicIlio
