Nº OCORRÊNCIA;DATA DO FATO;HORA DO FATO;OBJETO;AÇAO ;UF;MUNICIPIO;BAIRRO;LOGRADOURO;TIPO DE LOCAL
49838192;01/01/2023;00:05:00;APARELHOS TELEFONICOS;ROUBADO;ES;GUARAPARI;PRAIA DO MORRO;AVENIDA BEIRA MAR;OUTRO LOCAL
49838656;01/01/2023;04:17:00;VEICULO;FURTADO;ES;SANTA MARIA DE JETIBA;ALTOS SEBASTIAO;ROD. KURT CARL LUDWIG KERCKHOFF;VIA PUBLICA
49840685;01/01/2023;Indeterminada;VEICULO;FURTADO;ES;VILA VELHA;ITAPOA;RUA JAIME DUARTE DO NASCIMENTO;VIA PUBLICA
49841493;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DA COSTA;AV SAO PAULO;VIA PUBLICA
49841640;01/01/2023;13:36:00;APARELHOS TELEFONICOS;FURTADO;ES;FUNDAO;PRAIA GRANDE;RUA MUCURICI;VIA PUBLICA
49841640;01/01/2023;13:36:00;VEICULO;FURTADO;ES;FUNDAO;PRAIA GRANDE;RUA MUCURICI;VIA PUBLICA
49842465;01/01/2023;14:30:00;VEICULO;FURTADO;ES;SAO MATEUS;GURIRI;AV OCEANO ATLANTICO;VIA PUBLICA
49842613;01/01/2023;16:11:00;VEICULO;ROUBADO;ES;ARACRUZ;BARRA DO SAHY;AV ADEMAR DOS REIS;VIA PUBLICA
49842731;01/01/2023;01:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;ENSEADA DE JACARAIPE;RUA ABIDO SAADE;VIA PUBLICA
49844377;01/01/2023;20:00:00;VEICULO;ROUBADO;ES;GUARAPARI;AMARELO;NAO INFORMADA;RESIDÊNCIA
49845009;01/01/2023;20:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;ARIBIRI;Sem InformaçAo;VIA PUBLICA
49845417;01/01/2023;21:15:00;VEICULO;FURTADO;ES;VILA VELHA;PRAIA DE ITAPARICA;AV ESTUD JOSE JULIO DE SOUZA;VIA PUBLICA
49846038;01/01/2023;20:00:00;VEICULO;ROUBADO;ES;SERRA;ELDORADO;RUA RIO SAO FRANCISCO;VIA PUBLICA
49846902;01/01/2023;19:00:00;VEICULO;ROUBADO;ES;CARIACICA;SAO FRANCISCO;RUA DOS FOX MARIANE;VIA PUBLICA
49848277;01/01/2023;13:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;JARDIM DA PENHA;AV FERNANDO FERRARI;VEICULO
49848277;01/01/2023;13:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;JARDIM DA PENHA;AV FERNANDO FERRARI;VEICULO
49848908;01/01/2023;09:20:00;VEICULO;FURTADO;ES;MARATAIZES;CENTRO;AV. GOV. FRANCISCO L. DE AGUIAR;VIA PUBLICA
49848959;01/01/2023;16:30:00;VEICULO;FURTADO;ES;SOORETAMA;CONJUNTO DALVO LOUREIRO;AV ANGELO SUZANO;OUTRO LOCAL
49849141;01/01/2023;16:00:00;APARELHOS TELEFONICOS;FURTADO;ES;GUACUI;CENTRO;RUA GUELMAR VALADARES;VIA PUBLICA
49849296;01/01/2023;03:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DA COSTA;AV. DR. OLIVIO LIRA;VIA PUBLICA
49849306;01/01/2023;01:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;CASTELANDIA;AVENIDA ABDO SAAD;VIA PUBLICA
49849334;01/01/2023;00:13:00;APARELHOS TELEFONICOS;ROUBADO;ES;CONCEICAO DA BARRA;ITAUNAS;Sem InformaçAo;OUTRO LOCAL
49849353;01/01/2023;12:30:00;APARELHOS TELEFONICOS;FURTADO;ES;CONCEICAO DA BARRA;OUTRO LOCAL;Sem InformaçAo;OUTRO LOCAL
49849391;01/01/2023;01:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DA COSTA;NOS FESTEJOS DE FIM DE ANO;OUTRO LOCAL
49849555;01/01/2023;07:53:00;APARELHOS TELEFONICOS;FURTADO;ES;RIO BANANAL;SAO JORGE DO TIRADENTES;TREVO TAMANINI;RESIDÊNCIA
49849670;01/01/2023;12:40:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;GURIGICA;RUA MARIA PAIXAO SANTOS;COMERCIO
49849685;01/01/2023;04:30:00;BICICLETA;FURTADO;ES;VITORIA;FRADINHOS;RUA JOSE MALTA;RESIDÊNCIA
49849702;01/01/2023;09:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;MARUIPE;TRABALHO( FARMACIA);COMERCIO
49849716;01/01/2023;09:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;MARUIPE;AVENIDA MARUIPE;COMERCIO
49849822;01/01/2023;07:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VILA VELHA;PRAIA DA COSTA;Sem InformaçAo;VIA PUBLICA
49849911;01/01/2023;03:00:00;VEICULO;FURTADO;ES;ITAPEMIRIM;ITAOCA;AVENIDA ATLANTICA;VIA PUBLICA
49849915;01/01/2023;02:00:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;JARDIM CAMBURI;AV DANTE MICHELINE;VIA PUBLICA
49850075;01/01/2023;07:00:00;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;MARIO CYPRESTE;Sem InformaçAo;OUTRO LOCAL
49850147;01/01/2023;03:00:00;APARELHOS TELEFONICOS;FURTADO;ES;SERRA;MANGUINHOS;AV. ATAPOA;CASA DE SHOW/EVENTOS
49850424;01/01/2023;00:10:00;APARELHOS TELEFONICOS;FURTADO;ES;GUARAPARI;PRAIA DO MORRO;RUA BELO HORIZONTE;RESIDÊNCIA
49850633;01/01/2023;22:40:00;VEICULO;ROUBADO;ES;VILA VELHA;IBES;PRAÇA ASSIS CHATOBRIAN;VIA PUBLICA
49850705;01/01/2023;02:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;MARATAIZES;CENTRO;Sem InformaçAo;VIA PUBLICA
49850902;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;FURTADO;ES;FUNDAO;PRAIA GRANDE;RUA MUCURICI;VIA PUBLICA
49850902;01/01/2023;Indeterminada;VEICULO;FURTADO;ES;FUNDAO;PRAIA GRANDE;RUA MUCURICI;VIA PUBLICA
49851135;01/01/2023;05:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;SAO FRANCISCO;Sem InformaçAo;VIA PUBLICA
49851149;01/01/2023;03:00:00;BICICLETA;FURTADO;ES;GUARAPARI;SANTA MONICA;AV AGUAS MARINHAS;RESIDÊNCIA
49851224;01/01/2023;17:00:00;APARELHOS TELEFONICOS;FURTADO;ES;ANCHIETA;ANCHIETA;QUADRA POLIESPORTIVA;VIA PUBLICA
49851347;01/01/2023;Indeterminada;APARELHOS TELEFONICOS;FURTADO;ES;VITORIA;MATA DA PRAIA;AV DANTE MICHELINE;VIA PUBLICA
49851546;01/01/2023;01:12:00;APARELHOS TELEFONICOS;FURTADO;ES;GUARAPARI;PRAIA DO MORRO;PRAIA;OUTRO LOCAL
49851657;01/01/2023;20:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;COLINA DE LARANJEIRAS;Av. Eldes Scherrer Souza;VIA PUBLICA
49851975;01/01/2023;02:30:00;VEICULO;FURTADO;ES;SERRA;ELDORADO;RUA RIO BRANCO;VEICULO
49852053;01/01/2023;09:30:00;VEICULO;FURTADO;ES;VITORIA;JARDIM DA PENHA;AV DANTE MICHELINE;VIA PUBLICA
49852194;01/01/2023;23:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;SAO MATEUS;BOA VISTA;AV JOAO XXIII;VIA PUBLICA
49852257;01/01/2023;12:00:00;VEICULO;FURTADO;ES;VILA VELHA;RIVIERA DA BARRA;AV COLATINA;RESIDÊNCIA
49852392;01/01/2023;22:23:00;APARELHOS TELEFONICOS;ROUBADO;ES;SERRA;SERRA CENTRO;Sem InformaçAo;VIA PUBLICA
49852868;01/01/2023;09:00:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;CENTRO;RUA FILOMENO RIBEIRO;VIA PUBLICA
49858145;01/01/2023;03:30:00;APARELHOS TELEFONICOS;ROUBADO;ES;VITORIA;JARDIM DA PENHA;RUA ANISIO FERNANDES COELHO;VIA PUBLICA
